tag,n_streams,adaptive,overlap,makespan_ms,throughput,p50_ms,p99_ms,migrations,migrated_mb
baselineB,1,0,0,96.537,339433.2,40.372,79.401,512,512.00
ns1-ad0-ov0,1,0,0,87.067,376354.5,36.081,70.225,128,512.00
ns1-ad0-ov1,1,0,1,44.850,730607.3,35.323,43.330,128,512.00
ns1-ad1-ov0,1,1,0,87.367,375062.3,36.090,70.286,139,512.00
ns1-ad1-ov1,1,1,1,44.952,728954.5,36.468,44.475,139,512.00
ns2-ad0-ov0,2,0,0,87.163,375940.9,36.125,70.320,128,512.00
ns2-ad0-ov1,2,0,1,45.150,725750.7,35.621,43.628,128,512.00
ns2-ad1-ov0,2,1,0,87.399,374922.4,36.104,70.326,139,512.00
ns2-ad1-ov1,2,1,1,45.258,724033.0,36.781,44.788,139,512.00
p1-ad1-ov1,1,1,1,85.811,381863.9,77.045,85.052,139,512.00
p1-ad1-ov0,1,1,0,87.151,375991.2,35.992,70.078,139,512.00
