experiment,condition,gpus,arrival,skew,tasks,steal_thr,mode,n,makespan_mean_ms,makespan_std_ms,tput_mean,tput_std,p99_mean_ms,p99_std_ms,imb_mean,imb_std,steals_mean,steals_std
mg41,skewed/balanced,0,1,2,3,skewed,balanced,32768,0.25,one-steal-D1,5,264.14,5.61,124102,2621,237.99,5.07,0.0196,0.0113,275.8,147.6
mg41,skewed/balanced,0,1,2,3,skewed,balanced,32768,0.25,half-steal-D2,5,255.55,8.49,128335,4214,229.09,8.53,0.0264,0.0108,27.4,2.5
mg41,skewed/imbalanced,0,1,2,3,skewed,imbalanced,32768,0.25,static-A,5,390.44,3.10,83929,667,389.94,3.10,1.3810,0.0000,0.0,0.0
mg41,skewed/imbalanced,0,1,2,3,skewed,imbalanced,32768,0.25,dyn-B,5,432.88,18.16,75805,3228,421.74,17.90,0.1164,0.0043,21185.6,50.5
mg41,skewed/imbalanced,0,1,2,3,skewed,imbalanced,32768,0.25,ferry-C,5,251.22,10.30,130601,5120,241.11,10.52,0.0498,0.0207,98.8,1.9
mg41,skewed/imbalanced,0,1,2,3,skewed,imbalanced,32768,0.25,one-steal-D1,5,280.80,10.62,116827,4400,269.99,11.01,0.1628,0.0240,17318.0,346.8
mg41,skewed/imbalanced,0,1,2,3,skewed,imbalanced,32768,0.25,half-steal-D2,5,250.24,10.05,131117,5368,239.90,10.69,0.0562,0.0291,46.0,2.3
mg41,steady/balanced,0,1,2,3,steady,balanced,32768,0.25,static-A,5,264.52,12.58,124111,6102,263.70,12.52,0.0000,0.0000,0.0,0.0
mg41,steady/balanced,0,1,2,3,steady,balanced,32768,0.25,dyn-B,5,432.04,21.93,76012,4094,415.01,21.79,0.1426,0.0125,2013.2,176.0
mg41,steady/balanced,0,1,2,3,steady,balanced,32768,0.25,ferry-C,5,244.88,8.66,133944,4601,228.80,8.73,0.0500,0.0249,28.6,2.4
mg41,steady/balanced,0,1,2,3,steady,balanced,32768,0.25,one-steal-D1,5,255.65,10.47,128344,5114,239.95,10.24,0.0198,0.0081,298.6,131.8
mg41,steady/balanced,0,1,2,3,steady,balanced,32768,0.25,half-steal-D2,5,249.56,5.65,131358,2958,233.55,5.75,0.0358,0.0117,26.6,1.7
mg41,steady/imbalanced,0,1,2,3,steady,imbalanced,32768,0.25,static-A,5,380.15,4.99,86208,1130,379.78,4.99,1.3840,0.0000,0.0,0.0
mg41,steady/imbalanced,0,1,2,3,steady,imbalanced,32768,0.25,dyn-B,5,442.36,6.02,74086,1003,434.01,6.10,0.1218,0.0116,21348.4,169.4
