tag,n_streams,adaptive,overlap,makespan_ms,throughput,p50_ms,p99_ms,migrations,migrated_mb
baselineB,1,0,0,53.035,617860.6,18.660,36.325,512,512.00
ns1-ad0-ov0,1,0,0,45.564,719171.0,15.020,29.046,128,512.00
ns1-ad0-ov1,1,0,1,24.384,1343853.3,15.564,23.510,128,512.00
ns1-ad1-ov0,1,1,0,45.756,716149.4,14.967,29.056,139,512.00
ns1-ad1-ov1,1,1,1,24.347,1345881.6,16.084,24.047,139,512.00
ns2-ad0-ov0,2,0,0,45.517,719899.4,14.934,28.999,128,512.00
ns2-ad0-ov1,2,0,1,24.671,1328198.3,15.862,23.783,128,512.00
ns2-ad1-ov0,2,1,0,45.688,717211.1,14.906,28.976,139,512.00
ns2-ad1-ov1,2,1,1,24.555,1334500.3,16.286,24.252,139,512.00
