tag,n_streams,adaptive,overlap,makespan_ms,throughput,p50_ms,p99_ms,migrations,migrated_mb
baselineB,1,0,0,54.324,603194.8,19.243,37.603,512,512.00
M1-A-O,1,0,0,45.248,724193.1,14.804,28.735,128,512.00
M1-A+O,1,0,1,26.334,1244321.9,17.555,25.486,128,512.00
M1+A-O,1,1,0,45.760,716079.3,14.971,29.052,139,512.00
M1+A+O,1,1,1,26.507,1236196.7,18.249,26.205,139,512.00
M2-A-O,2,0,0,45.827,715033.0,15.141,29.308,128,512.00
M2-A+O,2,0,1,26.719,1226409.9,17.916,25.862,128,512.00
M2+A-O,2,1,0,46.039,711749.4,15.141,29.331,139,512.00
M2+A+O,2,1,1,25.875,1266401.0,17.619,25.583,139,512.00
