tag,n_streams,adaptive,overlap,makespan_ms,throughput,p50_ms,p99_ms,migrations,migrated_mb
baselineB,1,0,0,21.075,1554831.3,2.474,4.668,512,128.00
ns1-ad0-ov0,1,0,0,16.787,1952011.7,0.664,0.942,32,128.00
ns1-ad0-ov1,1,0,1,16.809,1949404.7,8.325,16.318,32,128.00
ns1-ad1-ov0,1,1,0,16.576,1976795.0,0.607,0.934,43,128.00
ns1-ad1-ov1,1,1,1,16.520,1983545.9,8.256,16.250,43,128.00
ns2-ad0-ov0,2,0,0,16.821,1948001.9,0.668,0.942,32,128.00
ns2-ad0-ov1,2,0,1,16.833,1946616.0,8.349,16.340,32,128.00
ns2-ad1-ov0,2,1,0,16.606,1973285.3,0.604,0.937,43,128.00
ns2-ad1-ov1,2,1,1,16.563,1978403.1,8.301,16.296,43,128.00
