tag,n_streams,adaptive,overlap,makespan_ms,throughput,p50_ms,p99_ms,migrations,migrated_mb
baselineB,1,0,0,53.329,614455.0,18.631,36.605,512,512.00
ns1-ad0-ov0,1,0,0,53.355,614152.7,18.604,36.645,512,512.00
ns1-ad0-ov1,1,0,1,47.382,691564.5,39.068,46.945,512,512.00
ns1-ad1-ov0,1,1,0,55.643,588892.3,20.018,38.925,512,512.00
ns1-ad1-ov1,1,1,1,44.550,735524.9,36.226,44.094,512,512.00
ns2-ad0-ov0,2,0,0,53.508,612399.4,18.740,36.786,512,512.00
ns2-ad0-ov1,2,0,1,44.686,733286.8,36.364,44.232,512,512.00
ns2-ad1-ov0,2,1,0,53.932,607576.4,18.884,37.206,512,512.00
ns2-ad1-ov1,2,1,1,44.853,730561.8,36.521,44.384,512,512.00
