tag,n_streams,adaptive,overlap,makespan_ms,throughput,p50_ms,p99_ms,migrations,migrated_mb
baselineB,1,0,0,53.567,611720.6,18.795,36.863,512,512.00
ns1-ad0-ov0,1,0,0,45.496,720238.5,15.028,28.982,128,512.00
ns1-ad0-ov1,1,0,1,24.713,1325938.5,15.917,23.847,128,512.00
ns1-ad1-ov0,1,1,0,45.589,718766.6,14.829,28.877,139,512.00
ns1-ad1-ov1,1,1,1,24.758,1323556.8,16.461,24.427,139,512.00
ns2-ad0-ov0,2,0,0,45.747,716288.6,15.125,29.222,128,512.00
ns2-ad0-ov1,2,0,1,24.933,1314261.2,16.125,24.064,128,512.00
ns2-ad1-ov0,2,1,0,45.900,713896.9,14.976,29.169,139,512.00
ns2-ad1-ov1,2,1,1,25.015,1309921.8,16.720,24.686,139,512.00
