metric,value
t_pipe_ms,27.307
t_comm_alone_ms,26.876
t_compute_alone_ms,16.488
overlap_ratio,0.3703
batches,512
arrival_span_ms,16.384
tick_ms,0.000500
pending_ahead,4
n_streams,2
