metric,value
t_pipe_ms,44.711
t_comm_alone_ms,46.757
t_compute_alone_ms,16.489
overlap_ratio,0.2931
batches,512
arrival_span_ms,16.384
tick_ms,0.000500
pending_ahead,4
n_streams,2
