metric,value
t_pipe_ms,16.566
t_comm_alone_ms,16.524
t_compute_alone_ms,16.395
overlap_ratio,0.4968
batches,43
arrival_span_ms,16.384
tick_ms,0.000500
pending_ahead,4
n_streams,2
