tag,n_streams,adaptive,overlap,makespan_ms,throughput,p50_ms,p99_ms,migrations,migrated_mb
baselineB,1,0,0,21.080,1554438.0,2.490,4.670,512,128.00
ns1-ad0-ov0,1,0,0,21.389,1532026.2,2.609,4.973,512,128.00
ns1-ad0-ov1,1,0,1,16.737,1957807.4,8.442,16.340,512,128.00
ns1-ad1-ov0,1,1,0,20.610,1589883.3,2.210,4.203,512,128.00
ns1-ad1-ov1,1,1,1,16.722,1959580.5,8.423,16.332,512,128.00
ns2-ad0-ov0,2,0,0,20.599,1590759.9,2.193,4.193,512,128.00
ns2-ad0-ov1,2,0,1,16.699,1962298.5,8.394,16.280,512,128.00
ns2-ad1-ov0,2,1,0,21.310,1537715.7,2.595,4.885,512,128.00
ns2-ad1-ov1,2,1,1,16.712,1960745.7,8.401,16.306,512,128.00
