tag,n_streams,adaptive,overlap,makespan_ms,throughput,p50_ms,p99_ms,migrations,migrated_mb
baselineB,1,0,0,53.398,613656.2,18.720,36.680,512,512.00
ns1-ad0-ov0,1,0,0,53.836,608660.7,18.883,37.120,512,512.00
ns1-ad0-ov1,1,0,1,27.310,1199853.3,18.990,26.856,512,512.00
ns1-ad1-ov0,1,1,0,54.396,602400.7,19.324,37.673,512,512.00
ns1-ad1-ov1,1,1,1,27.343,1198392.3,19.007,26.858,512,512.00
ns2-ad0-ov0,2,0,0,54.002,606789.4,19.010,37.281,512,512.00
ns2-ad0-ov1,2,0,1,27.359,1197721.0,19.028,26.891,512,512.00
ns2-ad1-ov0,2,1,0,53.983,607005.8,18.947,37.261,512,512.00
ns2-ad1-ov1,2,1,1,27.357,1197806.5,19.025,26.879,512,512.00
